format,metric,year,number_of_records,value_actual
Download Album,Value (Adjusted),1983,1,0
Download Album,Value (Adjusted),1984,1,0
Download Album,Value (Adjusted),1985,1,0
Download Album,Value (Adjusted),1986,1,0
Download Album,Value (Adjusted),1987,1,0
Download Album,Value (Adjusted),1988,1,0
Download Album,Value (Adjusted),1989,1,0
Download Album,Value (Adjusted),1990,1,0
Download Album,Value (Adjusted),1991,1,0
Download Album,Value (Adjusted),1992,1,0
Download Album,Value (Adjusted),1993,1,0
Download Album,Value (Adjusted),1994,1,0
Download Album,Value (Adjusted),1995,1,0
Download Album,Value (Adjusted),1996,1,0
Download Album,Value (Adjusted),1997,1,0
Download Album,Value (Adjusted),1998,1,0
Download Album,Value (Adjusted),1999,1,0
Download Album,Value (Adjusted),2000,1,0
Download Album,Value (Adjusted),2001,1,0
Download Album,Value (Adjusted),2002,1,0
Download Album,Value (Adjusted),2003,1,0
Download Album,Value (Adjusted),2004,1,61.579637374
Download Album,Value (Adjusted),2005,1,177.637761905
Download Album,Value (Adjusted),2006,1,349.879793155
Download Album,Value (Adjusted),2007,1,613.428807525
Download Album,Value (Adjusted),2008,1,754.37356702
Download Album,Value (Adjusted),2009,1,886.958916644
Download Album,Value (Adjusted),2010,1,1022.834348975
Download Album,Value (Adjusted),2011,1,1217.030019694
Download Album,Value (Adjusted),2012,1,1341.590982606
Download Album,Value (Adjusted),2013,1,1352.2029528
Download Album,Value (Adjusted),2014,1,1207.24757771
Download Album,Value (Adjusted),2015,1,1148.145080643
Download Album,Value (Adjusted),2016,1,925.232200992
Download Album,Value (Adjusted),2017,1,697.237618181
Download Album,Value (Adjusted),2018,1,508.704388424
Download Album,Value (Adjusted),2019,1,394.533006158
Download Music Video,Value (Adjusted),1973,1,0
Download Music Video,Value (Adjusted),1974,1,0
Download Music Video,Value (Adjusted),1975,1,0
Download Music Video,Value (Adjusted),1976,1,0
Download Music Video,Value (Adjusted),1977,1,0
Download Music Video,Value (Adjusted),1978,1,0
Download Music Video,Value (Adjusted),1979,1,0
Download Music Video,Value (Adjusted),1980,1,0
Download Music Video,Value (Adjusted),1981,1,0
Download Music Video,Value (Adjusted),1982,1,0
